case:concept:name,concept:name,livecycle:type,time:timestamp,process_id,parent_case_id,correlation_id,attributes
case_000001,C,complete,2025-08-01 12:10:17.004987,Micro_Process,,c55c55f5-ff03-4d22-9149-abe0096129be,"{'duration_minutes': 5.79, 'out_of_order': True, 'delivery_delay_minutes': 8.63}"
case_000001,Re,complete,2025-08-01 12:30:31.101681,Micro_Process,,d591ed7b-7bac-41aa-9267-0784511a38af,{'duration_minutes': 7.8}
case_000001,Re,complete,2025-08-01 12:35:01.570445,Micro_Process,,02228e75-c731-4945-a39e-30c183a0eb08,{'duration_minutes': 1.06}
case_000001,Re,complete,2025-08-01 12:36:08.380692,Micro_Process,,d681bd5c-03af-4b4d-a932-aa5f4ea425f8,{'duration_minutes': 1.64}
case_000002,V,complete,2025-08-01 12:42:01.183467,Simple_Process,,eec5e83d-e102-4d53-a8e3-d6aa5c9b992e,"{'duration_minutes': 8.87, 'out_of_order': True, 'delivery_delay_minutes': 16.63}"
case_000002,P,complete,2025-08-01 12:46:48.199175,Simple_Process,,394ae9e8-e94e-4be7-8604-4c4547ff25b1,{'duration_minutes': 8.27}
case_000002,E,complete,2025-08-01 12:49:06.381532,Simple_Process,,9c97b330-e375-4b7f-8ac7-2a62f5c8ce27,"{'duration_minutes': 1.13, 'out_of_order': True, 'delivery_delay_minutes': 13.69}"
case_000002,A,complete,2025-08-01 13:08:46.164946,Simple_Process,,b8b00593-3828-4a88-bc1e-85166f3f2ea2,{'duration_minutes': 6.04}
case_000002,A,complete,2025-08-01 13:09:05.178199,Simple_Process,,0733e9ad-1550-4660-982b-b2d61ca49e0c,"{'duration_minutes': 2.34, 'out_of_order': True, 'delivery_delay_minutes': -7.06}"
case_000002,A,complete,2025-08-01 13:11:23.800069,Simple_Process,,85c10deb-c3a4-437f-9e2c-76002b89a083,"{'duration_minutes': 3.23, 'out_of_order': True, 'delivery_delay_minutes': 10.87}"
case_000003,C,complete,2025-08-01 12:49:24.282983,Micro_Process,,e98793b2-153c-48e5-91ab-381c4de26c43,"{'duration_minutes': 8.77, 'out_of_order': True, 'delivery_delay_minutes': 8.29}"
case_000003,Re,complete,2025-08-01 12:56:55.384869,Micro_Process,,a59caeef-e742-4ea8-afb9-1905214da4e8,{'duration_minutes': 6.44}
case_000003,Re,complete,2025-08-01 13:02:54.557586,Micro_Process,,21cf074f-4aca-48f9-9780-27502f77076d,{'duration_minutes': 1.83}
case_000003,Re,complete,2025-08-01 13:04:49.212773,Micro_Process,,0e8117fb-2451-407b-a534-5c05230891c5,{'duration_minutes': 6.13}
case_000004,P,complete,2025-08-01 13:08:07.491499,Simple_Process,,a9c6d48d-732e-46c3-8630-b34d097a49ed,{'duration_minutes': 7.05}
case_000004,V,complete,2025-08-01 13:15:03.682224,Simple_Process,,61ad645c-de23-4ece-a4a8-67efc714daf7,{'duration_minutes': 4.16}
case_000004,E,complete,2025-08-01 13:20:43.184841,Simple_Process,,9c555d87-97ef-440f-9fbf-35718aa4a5ee,{'duration_minutes': 7.1}
case_000004,A,complete,2025-08-01 13:47:47.569648,Simple_Process,,cb5cc0a0-5643-49ad-b1a4-77b549c3e133,{'duration_minutes': 5.1}
case_000004,A,complete,2025-08-01 13:55:19.026351,Simple_Process,,cb51c1a0-bf41-4b19-b898-e327416887e2,"{'duration_minutes': 3.38, 'out_of_order': True, 'delivery_delay_minutes': -7.1}"
case_000004,A,complete,2025-08-01 13:56:27.323308,Simple_Process,,4b21b4f1-2181-4d61-9afe-8334eae8b6d6,{'duration_minutes': 1.83}
case_000004,A,complete,2025-08-01 13:58:08.342521,Simple_Process,,de5d8bbf-bcef-4c53-a148-7d6eae00f479,{'duration_minutes': 2.94}
case_000005,P,complete,2025-08-01 13:19:30.057166,Simple_Process,,3563671e-82bf-4c33-852f-21dbceff8cf5,{'duration_minutes': 8.59}
case_000005,E,complete,2025-08-01 13:25:56.076403,Simple_Process,,27d77bd3-3b5d-44b0-a448-43d56b94b6f0,"{'duration_minutes': 3.27, 'out_of_order': True, 'delivery_delay_minutes': -25.95}"
case_000005,V,complete,2025-08-01 13:32:15.190442,Simple_Process,,668f0f5c-2811-4567-8876-4ceded93a5d3,{'duration_minutes': 9.83}
case_000005,A,complete,2025-08-01 13:41:41.758123,Simple_Process,,eef416a6-e8c5-4255-91c9-d24a6b95a5ee,"{'duration_minutes': 3.4, 'out_of_order': True, 'delivery_delay_minutes': 12.21}"
case_000005,A,complete,2025-08-01 13:59:55.171989,Simple_Process,,a6b08c66-4d89-44b2-abfc-bea29251389c,{'duration_minutes': 3.48}
case_000005,A,complete,2025-08-01 14:05:22.779866,Simple_Process,,8943d302-ea8b-4fb8-805c-9815f0d931ab,{'duration_minutes': 8.79}
case_000006,E,complete,2025-08-01 13:15:36.045284,Complex_Process,,6a895b17-478e-41bc-beeb-62b77be5031f,"{'duration_minutes': 3.39, 'out_of_order': True, 'delivery_delay_minutes': -3.53}"
case_000006,R,complete,2025-08-01 13:20:58.405207,Complex_Process,,e8d45236-87f6-4b35-8ff9-ee7885dc5e41,{'duration_minutes': 5.6}
