case:concept:name,concept:name,livecycle:type,time:timestamp,process_id,parent_case_id,correlation_id,attributes
case_000001,Check_Invoice_01,start,2025-08-01T12:04:29.343655,Micro_Process,,8120169a-0dcf-446d-bc00-69c72cc02f4a,"{'temporal_delay_minutes': 4.17, 'concurrent_activities_in_case': 0}"
case_000001,Check_Invoice_01,complete,2025-08-01T12:10:17.004987,Micro_Process,,c55c55f5-ff03-4d22-9149-abe0096129be,"{'duration_minutes': 5.79, 'out_of_order': True, 'delivery_delay_minutes': 8.63}"
case_000001,Report_File_02,start,2025-08-01T12:22:43.258475,Micro_Process,,c717cc9c-b3a8-4676-b05b-5ce0d860e48f,"{'temporal_delay_minutes': 3.81, 'concurrent_activities_in_case': 0}"
case_000001,Report_File_02,complete,2025-08-01T12:30:31.101681,Micro_Process,,d591ed7b-7bac-41aa-9267-0784511a38af,{'duration_minutes': 7.8}
case_000001,Report_File_02_Option_B,start,2025-08-01T12:33:57.687392,Micro_Process,,3abb28f9-cf7c-463c-8a7e-376d9bed3ebc,"{'temporal_delay_minutes': 3.44, 'concurrent_activities_in_case': 0}"
case_000001,Report_File_02_Option_A,start,2025-08-01T12:31:35.411990,Micro_Process,,1c806c8c-6eee-4d94-aa72-2d21cdb14ec5,"{'temporal_delay_minutes': 1.07, 'concurrent_activities_in_case': 0, 'out_of_order': True, 'delivery_delay_minutes': 2.91}"
case_000001,Report_File_02_Option_B,complete,2025-08-01T12:35:01.570445,Micro_Process,,02228e75-c731-4945-a39e-30c183a0eb08,{'duration_minutes': 1.06}
case_000001,Report_File_02_Option_A,complete,2025-08-01T12:36:08.380692,Micro_Process,,d681bd5c-03af-4b4d-a932-aa5f4ea425f8,{'duration_minutes': 1.64}
case_000002,Process_Item_01,start,2025-08-01T12:38:32.150796,Simple_Process,,0ee9b8d4-d265-48ba-8d41-db4ddffe762c,"{'temporal_delay_minutes': 4.57, 'concurrent_activities_in_case': 0}"
case_000003,Check_Invoice_01,start,2025-08-01T12:40:37.811139,Micro_Process,,0bb14312-b695-4c11-88d7-39b28418e5a2,"{'temporal_delay_minutes': 2.09, 'concurrent_activities_in_case': 0}"
case_000002,Process_Item_01,complete,2025-08-01T12:46:48.199175,Simple_Process,,394ae9e8-e94e-4be7-8604-4c4547ff25b1,{'duration_minutes': 8.27}
case_000002,Validate_Form_03,start,2025-08-01T12:50:14.459816,Simple_Process,,d350d4b8-b252-4144-9f96-acf93403e5f0,"{'temporal_delay_minutes': 3.44, 'concurrent_activities_in_case': 0, 'out_of_order': True, 'delivery_delay_minutes': -17.09}"
case_000002_fractal_1,Check_Invoice_01,start,2025-08-01T12:46:58.199175,Micro_Process,case_000002,b43cc576-03ca-4d42-bdca-3a1c7a849175,{'fractal_depth': 1}
case_000002,Execute_File_02,start,2025-08-01T12:47:58.412289,Simple_Process,,4208c569-b2a4-43db-89ed-90467524307e,"{'temporal_delay_minutes': 1.17, 'concurrent_activities_in_case': 0}"
case_000002_fractal_1,Check_Invoice_01,complete,2025-08-01T12:48:51.069888,Micro_Process,,14f6592c-ad41-4980-a749-3017029d58c9,{'duration_minutes': 1.88}
