case:concept:name,concept:name,livecycle:type,time:timestamp,process_id,parent_case_id,correlation_id,attributes
case_000001,Check_Invoice_01,start,2025-07-28T17:02:47.937322,Micro_Process,,1a46c85d-78b8-41f9-94df-d463e371f80c,"{'temporal_delay_minutes': 4.17, 'concurrent_activities_in_case': 0}"
case_000001,Check_Invoice_01,complete,2025-07-28T17:08:35.598654,Micro_Process,,7c027e55-ae2d-41f0-9520-7f729fa32780,{'duration_minutes': 5.79}
case_000001,Report_File_02,start,2025-07-28T17:11:55.666084,Micro_Process,,27f1df3e-e8f7-4082-8b69-73f00ccbbafd,"{'temporal_delay_minutes': 3.33, 'concurrent_activities_in_case': 0}"
case_000001,Report_File_02,complete,2025-07-28T17:21:17.279370,Micro_Process,,d110d5fa-b3d3-4265-8a25-50a110910bdb,{'duration_minutes': 9.36}
case_000001,Report_File_02_Option_B,start,2025-07-28T17:23:25.232931,Micro_Process,,5cda3875-ed03-45a4-a4a6-890a3c861b60,"{'temporal_delay_minutes': 2.13, 'concurrent_activities_in_case': 0}"
case_000001,Report_File_02_Option_B,complete,2025-07-28T17:24:57.024765,Micro_Process,,4a32862b-dc29-41cc-878a-6ffa0da6afa8,{'duration_minutes': 1.53}
case_000002,Approve_Account_01,start,2025-07-28T17:24:26.158201,Medium_Process,,ebf83b86-aba4-4d14-9c46-f64c93f8b1d6,"{'temporal_delay_minutes': 3.15, 'concurrent_activities_in_case': 0, 'out_of_order': True, 'delivery_delay_minutes': 1.25}"
case_000001,Report_File_02_Option_A,start,2025-07-28T17:27:17.501830,Micro_Process,,b2ec0606-225f-4bca-96ab-003b83945e6c,"{'temporal_delay_minutes': 6.0, 'concurrent_activities_in_case': 0}"
case_000001,Report_File_02_Option_A,start,2025-07-28T17:29:06.881550,Micro_Process,,59f42041-9ae6-4981-8b41-5299834e3368,"{'temporal_delay_minutes': 4.16, 'concurrent_activities_in_case': 0}"
case_000002,Approve_Account_01,complete,2025-07-28T17:31:03.104772,Medium_Process,,6d8bb821-ff3c-4ac3-9a6e-b08007f3dbbc,{'duration_minutes': 5.37}
case_000002,Execute_Transaction_02,start,2025-07-28T17:32:07.447611,Medium_Process,,f21be38e-ff00-449a-9723-992fa3438521,"{'temporal_delay_minutes': 1.07, 'concurrent_activities_in_case': 0}"
case_000001,Report_File_02_Option_A,complete,2025-07-28T17:34:48.112216,Micro_Process,,0d9a6434-ce54-4b79-a17e-889525b02ae6,{'duration_minutes': 7.51}
case_000001,Report_File_02_Option_A,complete,2025-07-28T17:35:18.035841,Micro_Process,,f6cdfa2e-ea32-4b14-83e6-8ae05942ce98,{'duration_minutes': 6.19}
case_000002,Execute_Transaction_02,complete,2025-07-28T17:36:18.768297,Medium_Process,,28cfe981-2961-447b-b51c-501abc457625,{'duration_minutes': 4.19}
case_000002,Monitor_Data_03,start,2025-07-28T17:38:06.650999,Medium_Process,,5cf1869e-df3e-43d5-8fe0-ce346bc3bfd9,"{'temporal_delay_minutes': 1.8, 'concurrent_activities_in_case': 0}"
case_000002,Monitor_Data_03,complete,2025-07-28T17:40:45.734538,Medium_Process,,e07de101-25f6-4fc4-a476-6ff53f7592f5,{'duration_minutes': 2.65}
case_000002,Submit_Account_04,start,2025-07-28T17:41:36.031777,Medium_Process,,35c94b5f-0798-4b9c-8ec7-82081e107a49,"{'temporal_delay_minutes': 0.84, 'concurrent_activities_in_case': 0}"
case_000002,Validate_Record_06,start,2025-07-28T17:41:43.699468,Medium_Process,,5bb0233a-b236-478f-80bd-13913472df1b,"{'temporal_delay_minutes': 5.42, 'concurrent_activities_in_case': 0}"
case_000002,Submit_Account_04,complete,2025-07-28T17:44:43.676702,Medium_Process,,97d7db8b-050c-4949-92b6-922c4ea8bba3,{'duration_minutes': 3.13}
case_000003,Execute_Order_01,start,2025-07-28T17:45:29.111326,Complex_Process,,11f5bb4e-b166-4823-8b23-ded44c06efa8,"{'temporal_delay_minutes': 0.76, 'concurrent_activities_in_case': 0}"
case_000002,Update_Item_05,start,2025-07-28T17:45:50.731638,Medium_Process,,541c958b-a0b5-4355-bcfc-3e3b2e29024f,"{'temporal_delay_minutes': 5.08, 'concurrent_activities_in_case': 0}"
case_000002,Submit_Account_04_Option_A,start,2025-07-28T17:45:58.773104,Medium_Process,,c13456de-205d-47e8-9bdb-60765f4159fa,"{'temporal_delay_minutes': 1.25, 'concurrent_activities_in_case': 1}"
case_000002,Update_Form_07,start,2025-07-28T17:46:56.963478,Medium_Process,,540b3372-9850-4b86-9e40-a99a24fb4b16,"{'temporal_delay_minutes': 2.22, 'concurrent_activities_in_case': 1}"
case_000002,Validate_Record_06,start,2025-07-28T17:47:12.178908,Medium_Process,,b27b1b36-087e-43da-934c-32029c2fb3fd,"{'temporal_delay_minutes': 6.44, 'concurrent_activities_in_case': 0}"
case_000002,Submit_Account_04_Option_B,start,2025-07-28T17:47:39.185061,Medium_Process,,8838af57-b5e8-441b-8d65-4ef891b36cea,"{'temporal_delay_minutes': 2.93, 'concurrent_activities_in_case': 1}"
case_000002,Submit_Account_04_Option_A,complete,2025-07-28T17:47:42.033295,Medium_Process,,87d0cd5a-b485-448b-8bc1-e754a6314197,{'duration_minutes': 1.72}
case_000002,Update_Item_05,complete,2025-07-28T17:48:15.745311,Medium_Process,,04a27ece-87b5-401c-9666-7850ddfdaa9a,{'duration_minutes': 2.42}
case_000002,Update_Item_05_Option_B,start,2025-07-28T17:49:45.001265,Medium_Process,,9f13d953-51f3-411c-b300-45097b4211ea,"{'temporal_delay_minutes': 1.49, 'concurrent_activities_in_case': 3}"
case_000002,Validate_Record_06,complete,2025-07-28T17:50:19.189011,Medium_Process,,48669463-12e0-48ea-94d6-1c23ea98be0d,{'duration_minutes': 3.12}
case_000002,Submit_Account_04_Option_C,start,2025-07-28T17:50:25.953319,Medium_Process,,847889d1-7232-44cf-bae7-72236a4d8a15,"{'temporal_delay_minutes': 5.7, 'concurrent_activities_in_case': 1}"
case_000002,Validate_Record_06,complete,2025-07-28T17:50:30.610681,Medium_Process,,49ffa4c1-1233-4b63-a511-83cc19de0483,{'duration_minutes': 8.78}
case_000002,Update_Item_05,start,2025-07-28T17:50:56.344457,Medium_Process,,eee157e0-2eb9-4bf2-bd36-a89fe26bcf74,"{'temporal_delay_minutes': 6.21, 'concurrent_activities_in_case': 1}"
case_000003,Execute_Order_01,complete,2025-07-28T17:51:00.650533,Complex_Process,,5180e873-46a1-4e8a-8280-b0b5ea983d57,{'duration_minutes': 5.53}
case_000002,Update_Item_05_Option_A,start,2025-07-28T17:51:05.746684,Medium_Process,,6bd76823-9732-4994-a4b9-d3044974145b,"{'temporal_delay_minutes': 2.83, 'concurrent_activities_in_case': 3}"
case_000002,Update_Item_05_Option_B,complete,2025-07-28T17:51:24.562054,Medium_Process,,53701cc4-d393-4774-ab23-fe2e919bf88d,{'duration_minutes': 1.66}
case_000002,Update_Item_05_Option_C,start,2025-07-28T17:51:43.407428,Medium_Process,,3a43c002-4cca-4ad5-afe9-dc5844c88d64,"{'temporal_delay_minutes': 3.46, 'concurrent_activities_in_case': 3}"
case_000002,Submit_Account_04_Option_C,start,2025-07-28T17:51:59.776604,Medium_Process,,31450d9a-f35c-4143-b7c8-4c71e82fa50a,"{'temporal_delay_minutes': 4.3, 'concurrent_activities_in_case': 4}"
case_000002,Analyze_Profile_08,start,2025-07-28T17:52:54.631816,Medium_Process,,c29d04d6-c3a3-4b2f-b538-2edbe9e2dbe3,"{'temporal_delay_minutes': 1.5, 'concurrent_activities_in_case': 5}"
case_000002,Update_Form_07,complete,2025-07-28T17:53:18.282435,Medium_Process,,6c22ddd2-43c6-42aa-9989-3eb4c13801b9,{'duration_minutes': 6.36}
case_000002,Analyze_Profile_08,start,2025-07-28T17:53:32.375592,Medium_Process,,a18abbc3-7908-4cf0-a38d-70dee593755f,"{'temporal_delay_minutes': 3.03, 'concurrent_activities_in_case': 4}"
case_000002,Create_Item_10,start,2025-07-28T17:54:10.654126,Medium_Process,,97cd53bd-8d85-4219-a972-ec99226e2a70,"{'temporal_delay_minutes': 2.77, 'concurrent_activities_in_case': 5}"
case_000003,Review_File_02,start,2025-07-28T17:54:28.720177,Complex_Process,,fa845099-71c8-4ad8-a924-7853da2bff19,"{'temporal_delay_minutes': 3.47, 'concurrent_activities_in_case': 0}"
case_000002,Create_Item_10,start,2025-07-28T17:54:36.186759,Medium_Process,,03dae28c-26e2-4459-9415-31b89e25b91c,"{'temporal_delay_minutes': 6.34, 'concurrent_activities_in_case': 3}"
case_000002,Create_Item_10,start,2025-07-28T17:54:40.800416,Medium_Process,,1718dd76-212b-4f18-8933-7f8fc67ee588,"{'temporal_delay_minutes': 1.38, 'concurrent_activities_in_case': 6}"
case_000002,Create_Item_10,start,2025-07-28T17:55:50.661596,Medium_Process,,b8bbd307-337c-4010-a2ce-f7d2ec9d243d,"{'temporal_delay_minutes': 5.33, 'concurrent_activities_in_case': 4}"
case_000002,Submit_Account_04_Option_B,complete,2025-07-28T17:56:39.940211,Medium_Process,,e492c522-c541-495c-808c-35db43636a20,{'duration_minutes': 9.01}
case_000003,Review_File_02,complete,2025-07-28T17:56:48.690821,Complex_Process,,1154c5a6-96f4-4c83-8ecd-021e45010139,{'duration_minutes': 2.33}
case_000002,Update_Item_05_Option_C,complete,2025-07-28T17:55:12.814749,Medium_Process,,576b0e5b-fc3a-4dc5-9958-69d9dec6c230,"{'duration_minutes': 3.49, 'out_of_order': True, 'delivery_delay_minutes': 1.63}"
case_000002,Submit_Account_04_Option_C,start,2025-07-28T17:57:14.994169,Medium_Process,,49c55f61-a816-48b7-9985-0c638478932d,"{'temporal_delay_minutes': 8.99, 'concurrent_activities_in_case': 3}"
case_000002,Update_Item_05_Option_A,start,2025-07-28T17:57:28.992947,Medium_Process,,27606ae6-ab0b-4ca2-aeb1-91b318155937,"{'temporal_delay_minutes': 6.97, 'concurrent_activities_in_case': 4}"
case_000002,Update_Item_05_Option_A,complete,2025-07-28T17:57:32.354791,Medium_Process,,9c9f7711-1a59-415c-8d57-6750764b2870,{'duration_minutes': 6.44}
