index,temporal_dependency,parallel_activity_ratio,long_term_dependencies,activity_appearance_rate,unique_paths_ratio
0 - 100,0.5880503226874177,0.005376344086021506,0.16666666666666666,0.3333333333333333,0.2916666666666667
100 - 200,0.49881791512857365,0.0,0.16666666666666666,0.0,0.25
200 - 300,0.3552560446461783,0.034482758620689655,0.0,0.0,0.25
300 - 400,0.5599092199481037,0.016042780748663103,0.5,0.0,0.25
400 - 500,0.40607887908702334,0.007042253521126761,0.16666666666666666,0.0,0.25
500 - 600,0.48020663872905583,0.00625,0.16666666666666666,0.0,0.2413793103448276
600 - 700,0.41214290509355905,0.007751937984496124,0.0,0.058823529411764705,0.17647058823529413
700 - 800,0.4496359273077485,0.006134969325153374,0.0,0.0,0.22580645161290322
800 - 900,0.4611523715295074,0.006944444444444444,0.0,0.0,0.16129032258064516
900 - 1000,0.7414496534814203,0.0,0.16666666666666666,0.0,0.20833333333333334
1000 - 1100,0.5373671631995608,0.0058823529411764705,0.16666666666666666,0.0,0.2692307692307692
1100 - 1200,0.5984001213349197,0.012422360248447204,0.0,0.0,0.21428571428571427
1200 - 1300,0.38478226853590564,0.021897810218978103,0.16666666666666666,0.0,0.15151515151515152
1300 - 1400,0.7287393850743886,0.0,0.0,0.0,0.2
1400 - 1500,0.23713932057839626,0.02666666666666667,0.0,0.0,0.23529411764705882
1500 - 1600,0.7773478196076248,0.0,0.16666666666666666,0.0,0.2
1600 - 1700,0.4558495998815772,0.006211180124223602,0.16666666666666666,0.0,0.2413793103448276
1700 - 1800,0.33636878490161465,0.016,0.0,0.0,0.2
1800 - 1900,0.260730102765467,0.0,0.25,0.0,0.20588235294117646
1900 - 2000,0.28455241292228706,0.006666666666666667,0.0,0.0,0.23529411764705882
2000 - 2100,0.3622561491380782,0.006535947712418301,0.16666666666666666,0.0,0.23333333333333334
2100 - 2200,0.33947593223163464,0.012121212121212121,0.3333333333333333,0.0,0.3103448275862069
2200 - 2300,0.5723672388256006,0.0,0.0,0.0,0.17857142857142858
2300 - 2400,0.25476827153401477,0.013333333333333334,0.0,0.0,0.25806451612903225
2400 - 2500,0.4611523715295074,0.02040816326530612,0.0,0.0,0.16129032258064516
2500 - 2600,0.37050334392969286,0.013422818791946308,0.16666666666666666,0.0,0.1935483870967742
2600 - 2700,0.3454090771780549,0.04081632653061224,0.3333333333333333,0.0,0.25806451612903225
2700 - 2800,0.4635684530532786,0.0125,0.16666666666666666,0.0,0.27586206896551724
2800 - 2900,0.35108547061793727,0.0,0.0,0.0,0.25
2900 - 3000,0.5391060816525839,0.006622516556291391,0.0,0.0,0.2
3000 - 3100,0.4430336806610206,0.0189873417721519,0.16666666666666666,0.0,0.20689655172413793
3100 - 3200,0.4699960164968422,0.0,0.16666666666666666,0.0,0.1935483870967742
3200 - 3300,0.3457189395426849,0.006578947368421052,0.16666666666666666,0.0,0.23333333333333334
3300 - 3400,0.26679690218245916,0.0072992700729927005,0.0,0.0,0.21212121212121213
3400 - 3500,0.3860857185660986,0.018633540372670808,0.16666666666666666,0.0,0.2413793103448276
3500 - 3600,0.4058338231560027,0.0,0.16666666666666666,0.0,0.23333333333333334
3600 - 3700,0.32660585087019384,0.0,0.3333333333333333,0.0,0.27586206896551724
3700 - 3800,0.3845060470142586,0.014925373134328358,0.0,0.0,0.15151515151515152
3800 - 3900,0.37421885278354794,0.03571428571428571,0.0,0.0,0.15625
3900 - 4000,0.5273936818315621,0.023952095808383235,0.16666666666666666,0.0,0.18518518518518517
4000 - 4100,0.4656143143367838,0.00641025641025641,0.0,0.0,0.1724137931034483
4100 - 4200,0.365725872133735,0.0,0.16666666666666666,0.0,0.25
4200 - 4300,0.3309219842864792,0.013888888888888888,0.0,0.0,0.21875
4300 - 4400,0.5376673147950544,0.0,0.16666666666666666,0.0,0.23076923076923078
4400 - 4500,0.3136457266687494,0.02142857142857143,0.0,0.0,0.21875
4500 - 4600,0.5137142665167674,0.0,0.16666666666666666,0.0,0.32142857142857145
4600 - 4700,0.3731899000519518,0.0,0.0,0.0,0.18181818181818182
4700 - 4800,0.6001089350385198,0.006134969325153374,0.0,0.0,0.2222222222222222
4800 - 4900,0.4410373184016151,0.02,0.16666666666666666,0.0,0.22580645161290322
4900 - 5000,0.34598003126806853,0.0136986301369863,0.3333333333333333,0.0,0.1935483870967742
5000 - 5100,0.35266744179311094,0.013333333333333334,0.3333333333333333,0.0,0.22580645161290322
5100 - 5200,0.5247550417023917,0.005847953216374269,0.16666666666666666,0.0,0.2222222222222222
5200 - 5300,0.495414121025802,0.0,0.0,0.0,0.23076923076923078
5300 - 5400,0.5113063816665603,0.005235602094240838,0.16666666666666666,0.04,0.24
5400 - 5500,0.3783457913331821,0.0,0.0,0.0,0.17857142857142858
5500 - 5600,0.3838007258809812,0.012903225806451613,0.0,0.0,0.2
5600 - 5700,0.3527190570578522,0.011976047904191617,0.0,0.0,0.25
5700 - 5800,0.4196871129949855,0.0196078431372549,0.0,0.0,0.23333333333333334
5800 - 5900,0.6138778638404514,0.011695906432748537,0.0,0.0,0.23076923076923078
5900 - 6000,0.39644365429242817,0.0,0.16666666666666666,0.0,0.2857142857142857
6000 - 6100,0.3130834672349397,0.014814814814814815,0.0,0.0,0.21212121212121213
6100 - 6200,0.30419601170646526,0.02097902097902098,0.0,0.0,0.1875
6200 - 6300,0.28880774193980785,0.020134228187919462,0.0,0.0,0.16129032258064516
6300 - 6400,0.3556448988823056,0.0,0.16666666666666666,0.0,0.22580645161290322
6400 - 6500,0.4864851446820454,0.012048192771084338,0.2063492063492063,0.0,0.20689655172413793
6500 - 6600,0.4233175087731826,0.031446540880503145,0.16666666666666666,0.0,0.2413793103448276
6600 - 6700,0.3134516664696972,0.006896551724137931,0.38888888888888884,0.0,0.25806451612903225
6700 - 6800,0.28899353060887834,0.0,0.5,0.0,0.1875
6800 - 6900,0.3932437082144194,0.0,0.16666666666666666,0.0,0.1875
6900 - 7000,0.3588344945124467,0.006711409395973154,0.0,0.0,0.15151515151515152
7000 - 7100,0.6729297262807934,0.0,0.16666666666666666,0.0,0.30434782608695654
7100 - 7200,0.3121285973933655,0.0,0.2857142857142857,0.0,0.3103448275862069
7200 - 7300,0.5744382422331801,0.0,0.0,0.0,0.2692307692307692
7300 - 7400,0.7392088394738835,0.0,0.16666666666666666,0.0,0.25925925925925924
7400 - 7500,0.3972611021992111,0.0,0.16666666666666666,0.0,0.23333333333333334
7500 - 7600,0.42031973037863357,0.005952380952380952,0.0,0.0,0.2222222222222222
7600 - 7700,0.4214741846058261,0.0,0.16666666666666666,0.0,0.34615384615384615
