index,temporal_dependency,parallel_activity_ratio,long_term_dependencies,activity_appearance_rate,unique_paths_ratio
0 - 100,0.4795918367346941,0.3086868686868687,0.45454545454545453,28.0,1.0
100 - 200,0.6104579533873321,0.21183285064129084,0.3769790329482242,0.0,1.0
200 - 300,0.5463917525773196,0.2732716385410996,0.0,0.3333333333333333,1.0
300 - 400,0.5051546391752582,0.24650938854116514,0.39655172413793105,1.3333333333333333,1.0
400 - 500,0.6185567010309279,0.15950920245398773,0.19718309859154928,4.666666666666667,1.0
500 - 600,0.6595922679520219,0.21458551941238196,0.44,4.666666666666667,1.0
600 - 700,0.4845360824742268,0.3857566765578635,0.0,3.3333333333333335,1.0
700 - 800,0.46391752577319595,0.3523914238592633,0.0,0.0,1.0
800 - 900,0.48958333333333354,0.32751091703056767,0.0,1.75,1.0
900 - 1000,0.4919838926384824,0.2921212121212121,0.17474747474747473,2.5,1.0
1000 - 1100,0.6804123711340205,0.19482835488185465,0.3898305084745763,3.6666666666666665,1.0
1100 - 1200,0.6185567010309277,0.28041543026706234,0.2777777777777778,0.0,1.0
1200 - 1300,0.4561351803900673,0.3466068424004487,0.0,0.0,1.0
1300 - 1400,0.6082474226804121,0.26363205310573734,0.19298245614035087,0.0,1.0
1400 - 1500,0.48453608247422686,0.29880043620501634,0.0,0.3333333333333333,1.0
1500 - 1600,0.5670103092783507,0.2828870779976717,0.0,0.0,1.0
1600 - 1700,0.8163265306122456,0.1504102096627165,0.10126582278481013,10.5,1.0
1700 - 1800,0.48171992185246404,0.29198813056379824,0.0,0.5,1.0
1800 - 1900,0.7628865979381434,0.2386043894203714,0.0,0.6666666666666666,1.0
1900 - 2000,0.4713032551857976,0.34071274298056153,0.0,0.0,1.0
2000 - 2100,0.7040816326530618,0.17929562433297758,0.3333333333333333,2.0,1.0
2100 - 2200,0.5257731958762886,0.3142554319024907,0.0,0.0,1.0
2200 - 2300,0.5284930988907253,0.3502897617514488,0.0,0.5,1.0
2300 - 2400,0.5200030129960636,0.2023745277927685,0.3382352941176471,0.3333333333333333,1.0
2400 - 2500,0.5692208399852705,0.2232799653829511,0.21263858093126387,0.0,1.0
2500 - 2600,0.6082474226804123,0.22277227722772278,0.0,0.0,1.0
2600 - 2700,0.5963032551857972,0.36976127320954905,0.0,0.0,1.0
2700 - 2800,0.6122448979591841,0.27696562623468984,0.0,1.5,1.0
2800 - 2900,0.42773427830590793,0.3020238713025428,0.0,0.0,1.0
2900 - 3000,0.6926065103715942,0.3206751054852321,0.2545454545454545,0.5,1.0
3000 - 3100,0.5567010309278349,0.30849549121974373,0.3877551020408163,1.0,1.0
3100 - 3200,0.6313929123488298,0.37413280475718536,0.0,0.0,1.0
3200 - 3300,0.5463917525773194,0.28122109158186864,0.0,0.0,1.0
3300 - 3400,0.4742268041237113,0.22305179654689689,0.30612244897959184,0.0,1.0
3400 - 3500,0.5179908504931602,0.30934223069590083,0.0,0.0,1.0
3500 - 3600,0.7142857142857147,0.29421352893235536,0.0,2.0,1.0
3600 - 3700,0.3618264322240583,0.2681933842239186,0.0,0.0,1.0
3700 - 3800,0.8265306122448987,0.1698647373387858,0.18181818181818182,1.5,1.0
3800 - 3900,0.5670103092783507,0.20801623541349568,0.0,1.0,1.0
3900 - 4000,0.44582590203955197,0.286215978928885,0.0,0.0,1.0
4000 - 4100,0.641899473593117,0.271304347826087,0.34285714285714286,0.0,1.0
4100 - 4200,0.6326530612244902,0.3018569735282497,0.2687060768912774,0.0,1.0
4200 - 4300,0.4405704896238103,0.2987438558164937,0.0,0.0,1.0
4300 - 4400,0.5076597655573919,0.33312460864120225,0.0,0.0,1.0
4400 - 4500,0.5076815721426449,0.2743413516609393,0.0,0.0,1.0
4500 - 4600,0.6481829425956523,0.2617527568195009,0.2857142857142857,0.0,1.0
4600 - 4700,0.5463917525773192,0.2639909553420011,0.0,0.0,1.0
4700 - 4800,0.6185567010309279,0.2651646447140381,0.375,0.0,1.0
4800 - 4900,0.7342731770382606,0.2135058633238981,0.0,0.0,1.0
4900 - 5000,0.5612244897959187,0.23411764705882354,0.21666666666666667,0.0,1.0
5000 - 5100,0.7315162759289854,0.33167495854063017,0.0,0.0,1.0
5100 - 5200,0.6041666666666664,0.28494943486020224,0.0,0.0,1.0
5200 - 5300,0.6492829896015062,0.29605618584548893,0.28205128205128205,1.6666666666666667,1.0
5300 - 5400,0.5360824742268043,0.3683249657690552,0.22950819672131148,0.0,1.0
5400 - 5500,0.4458259020395519,0.29007210205213535,0.0,0.0,1.0
