index,temporal_dependency,parallel_activity_ratio,long_term_dependencies,activity_appearance_rate,unique_paths_ratio
0 - 100,0.7072487704144383,0.0,0.3952380952380952,0.5555555555555556,0.3888888888888889
100 - 200,0.6351685823444526,0.016260162601626018,0.36250000000000004,0.0,0.35
200 - 300,0.8354884907384985,0.0,0.0,0.045454545454545456,0.2727272727272727
300 - 400,0.748119522766224,0.0,0.325,0.0,0.4444444444444444
400 - 500,0.7924762161775114,0.007462686567164179,0.3333333333333333,0.1111111111111111,0.4444444444444444
500 - 600,0.5965790493245795,0.03985507246376811,0.3729166666666667,0.0,0.5
600 - 700,0.8333640343272037,0.010169491525423728,0.4807692307692307,0.0,0.3125
700 - 800,0.6839177606024078,0.005952380952380952,0.40476190476190477,0.0,0.225
800 - 900,0.8161177823630178,0.019867549668874173,0.34183673469387754,0.0,0.375
900 - 1000,0.7648298318638551,0.004201680672268907,0.3333333333333333,0.0,0.3157894736842105
1000 - 1100,0.7674979856514713,0.011976047904191617,0.35151515151515156,0.0,0.4666666666666667
1100 - 1200,0.6867747107940857,0.015527950310559006,0.4367132867132867,0.0,0.5294117647058824
1200 - 1300,0.7763561714567235,0.015037593984962405,0.5507625272331155,0.0,0.4
1300 - 1400,0.6220432976522196,0.011111111111111112,0.0,0.034482758620689655,0.27586206896551724
1400 - 1500,0.6454457826103583,0.0,0.14285714285714285,0.0,0.36363636363636365
1500 - 1600,0.6378059870610355,0.02491103202846975,0.2802721088435374,0.0,0.5
1600 - 1700,0.7281403663626633,0.003676470588235294,0.3934523809523809,0.0,0.4117647058823529
1700 - 1800,0.7352597055341279,0.006896551724137931,0.4568452380952381,0.0,0.47058823529411764
1800 - 1900,0.5110231986306235,0.0,0.25357142857142856,0.0,0.3
1900 - 2000,0.5645237576798102,0.013089005235602094,0.44874411302982736,0.0,0.7333333333333333
2000 - 2100,0.8036482457147219,0.0,0.0,0.0,0.25
2100 - 2200,0.7615224646508773,0.014354066985645933,0.5,0.0,0.43478260869565216
2200 - 2300,0.7241416526534579,0.008298755186721992,0.3333333333333333,0.0,0.42105263157894735
2300 - 2400,0.5460713527947176,0.019332161687170474,0.3789010989010989,0.0,0.7333333333333333
2400 - 2500,0.7806173060873571,0.0,0.3125,0.0,0.1724137931034483
2500 - 2600,0.7615875097682558,0.02247191011235955,0.3352380952380952,0.0,0.4444444444444444
2600 - 2700,0.6649943980612116,0.012145748987854251,0.14285714285714285,0.0,0.5789473684210527
2700 - 2800,0.6348464247458079,0.01384083044982699,0.44682539682539685,0.0,0.5238095238095238
