index,temporal_dependency,parallel_activity_ratio,long_term_dependencies,activity_appearance_rate,unique_paths_ratio
0 - 100,0.22474167909996773,0.056162246489859596,0.4926386744568562,1.5,1.0
100 - 200,0.35020179985689004,0.05846774193548387,0.4443560606060607,0.08333333333333333,0.8333333333333334
200 - 300,0.23239693131979092,0.05862646566164154,0.3793789543789543,0.0,1.0
300 - 400,0.19650365378547266,0.08536585365853659,0.36472416472416475,0.1,1.0
400 - 500,0.3170988551673584,0.05473372781065089,0.42763486513486504,0.1,1.0
500 - 600,0.45598563372705725,0.07327586206896551,0.3780323842823843,0.0,0.9090909090909091
600 - 700,0.22730521015057017,0.0749063670411985,0.4752122877122878,0.0,1.0
700 - 800,0.2765116178227709,0.05142857142857143,0.48255167451596026,0.0,1.0
800 - 900,0.3710522792209745,0.054613935969868174,0.41483630006357275,0.0,1.0
900 - 1000,0.317531039269659,0.06060606060606061,0.3918003565062389,0.0,1.0
1000 - 1100,0.33923768759440287,0.041891891891891894,0.46593406593406583,0.0,1.0
1100 - 1200,0.20835388130165067,0.04591836734693878,0.5068958818958819,0.0,1.0
1200 - 1300,0.23234166108034854,0.04439511653718091,0.578385579937304,0.0,1.0
1300 - 1400,0.25095410745972224,0.05333333333333334,0.49624207971958834,0.0,1.0
1400 - 1500,0.18274784414663595,0.0352685838307108,0.6106547619047619,0.0,1.0
1500 - 1600,0.1638114258279448,0.034482758620689655,0.6355286738351255,0.0,1.0
1600 - 1700,0.26660531686323846,0.03934010152284264,0.44026026392961876,0.0,1.0
1700 - 1800,0.2847598080048115,0.056105610561056105,0.42464006581653646,0.0,1.0
1800 - 1900,0.2939259810602715,0.05421686746987952,0.4724816849816849,0.0,1.0
1900 - 2000,0.23029700783173654,0.0684931506849315,0.48323013415892674,0.0,1.0
2000 - 2100,0.25955759218456476,0.04774193548387097,0.6335655629773277,0.0,1.0
2100 - 2200,0.294810435151204,0.03005008347245409,0.6255252100840336,0.0,1.0
2200 - 2300,0.3103300119805816,0.03963011889035667,0.4008699633699633,0.0,0.8888888888888888
2300 - 2400,0.2175952525494806,0.04039301310043668,0.4831770241253,0.0,1.0
2400 - 2500,0.25988405237942364,0.06333333333333334,0.4165719696969697,0.0,1.0
2500 - 2600,0.2988075544150792,0.04436860068259386,0.5442067852782138,0.0,1.0
2600 - 2700,0.25935232427031035,0.04648390941597139,0.4626392126392127,0.1111111111111111,1.0
2700 - 2800,0.3524896580237902,0.04681404421326398,0.5062944718117133,0.0,1.0
