timestamp,fitness_hmlcb,fitness_hmlc,precision_hmlcb,precision_hmlc
2025-05-29T16:09:49,0.93,0.91,0.9,0.87
2025-05-29T16:09:53,0.4,0.89,0.91,0.86
2025-05-29T16:09:57,0.89,0.95,0.86,0.89
2025-05-29T16:10:01,0.93,0.94,0.92,0.93
2025-05-29T16:10:05,0.9,0.89,0.9,0.94
2025-05-29T16:10:09,0.89,0.92,0.94,0.9
2025-05-29T16:10:13,0.92,0.95,0.93,0.85
2025-05-29T16:10:17,0.81,0.92,0.86,0.95
2025-05-29T16:10:21,0.89,0.83,0.95,0.83
2025-05-29T16:10:25,0.86,0.86,0.82,0.89
2025-05-29T16:27:23,0.12,0.12,0.16,0.13
2025-05-29T16:27:27,0.12,0.07,0.14,0.12
2025-05-29T16:27:31,0.0,0.06,0.05,0.06
2025-05-29T16:27:35,0.09,0.19,0.19,0.05
2025-05-29T16:27:39,0.12,0.09,0.04,0.2
2025-05-29T16:27:43,0.03,0.12,0.08,0.15
2025-05-29T16:27:47,0.12,0.08,0.17,0.18
2025-05-29T16:27:51,0.13,0.09,0.15,0.19
2025-05-29T16:27:55,0.11,0.06,0.11,0.08
2025-05-29T16:27:59,0.08,0.15,0.01,0.11
