timestamp,fitness_hmlcb,fitness_hmlc,precision_hmlcb,precision_hmlc
2025-05-29T16:11:25,0.82,0.83,0.84,0.89
2025-05-29T16:11:29,0.93,0.91,0.95,0.89
2025-05-29T16:11:33,0.9,0.46,0.89,0.94
2025-05-29T16:11:38,0.73,0.94,0.88,0.88
2025-05-29T16:11:42,0.91,0.88,0.86,0.92
2025-05-29T16:11:46,0.89,0.86,0.93,0.92
2025-05-29T16:11:50,0.91,0.95,0.89,0.89
2025-05-29T16:11:53,0.86,0.83,0.85,0.93
2025-05-29T16:11:57,0.93,0.83,0.93,0.86
2025-05-29T16:12:01,0.92,0.92,0.9,0.91
2025-05-29T16:28:57,0.13,0.08,0.11,0.1
2025-05-29T16:29:01,0.09,0.09,0.07,0.16
2025-05-29T16:29:05,0.18,0.13,0.06,0.07
2025-05-29T16:29:10,0.03,0.12,0.13,0.09
2025-05-29T16:29:14,0.1,0.12,0.09,0.17
2025-05-29T16:29:18,0.17,0.16,0.03,0.13
2025-05-29T16:29:22,0.16,0.08,0.1,0.05
2025-05-29T16:29:26,0.05,0.2,0.06,0.08
2025-05-29T16:29:30,0.04,0.12,0.14,0.18
2025-05-29T16:29:34,0.03,0.14,0.11,0.15
