timestamp,fitness_hmlcb,fitness_hmlc,precision_hmlcb,precision_hmlc
2025-05-29T16:13:46,0.85,0.89,0.93,0.9
2025-05-29T16:13:50,0.95,0.91,0.88,0.95
2025-05-29T16:13:55,0.92,0.9,0.9,0.86
2025-05-29T16:13:59,0.93,0.92,0.94,0.91
2025-05-29T16:14:02,0.92,0.22,0.93,0.94
2025-05-29T16:14:06,0.85,0.88,0.83,0.88
2025-05-29T16:14:10,0.91,0.94,0.89,0.95
2025-05-29T16:14:14,0.94,0.87,0.95,0.94
2025-05-29T16:14:18,0.88,0.88,0.89,0.94
2025-05-29T16:14:22,0.95,0.83,0.93,0.94
2025-05-29T16:31:19,0.05,0.02,0.14,0.03
2025-05-29T16:31:23,0.07,0.1,0.16,0.08
2025-05-29T16:31:27,0.08,0.08,0.12,0.12
2025-05-29T16:31:31,0.16,0.02,0.01,0.17
2025-05-29T16:31:35,0.12,0.12,0.2,0.17
2025-05-29T16:31:40,0.14,0.14,0.14,0.03
2025-05-29T16:31:43,0.13,0.19,0.18,0.09
2025-05-29T16:31:47,0.18,0.18,0.07,0.18
2025-05-29T16:31:51,0.1,0.02,0.1,0.01
2025-05-29T16:31:56,0.08,0.19,0.1,0.08
