timestamp,fitness_hmlcb,fitness_hmlc,precision_hmlcb,precision_hmlc
2025-05-29T16:13:00,0.92,0.81,0.94,0.94
2025-05-29T16:13:04,0.94,0.94,0.91,0.93
2025-05-29T16:13:08,0.92,0.84,0.94,0.92
2025-05-29T16:13:12,0.95,0.95,0.93,0.83
2025-05-29T16:13:16,0.85,0.92,0.88,0.94
2025-05-29T16:13:20,0.87,0.94,0.92,0.87
2025-05-29T16:13:24,0.93,0.92,0.95,0.78
2025-05-29T16:13:28,0.93,0.02,0.93,0.92
2025-05-29T16:13:31,0.85,0.83,0.9,0.91
2025-05-29T16:13:35,0.86,0.92,0.93,0.86
2025-05-29T16:30:32,0.19,0.09,0.1,0.12
2025-05-29T16:30:36,0.07,0.06,0.05,0.13
2025-05-29T16:30:40,0.1,0.13,0.03,0.12
2025-05-29T16:30:44,0.13,0.11,0.2,0.16
2025-05-29T16:30:48,0.02,0.15,0.13,0.19
2025-05-29T16:30:52,0.15,0.1,0.0,0.04
2025-05-29T16:30:56,0.11,0.14,0.0,0.01
2025-05-29T16:31:00,0.06,0.02,0.07,0.17
2025-05-29T16:31:04,0.12,0.11,0.1,0.03
2025-05-29T16:31:08,0.15,0.11,0.06,0.18
