timestamp,fitness_hmlcb,fitness_hmlc,precision_hmlcb,precision_hmlc
2025-05-29T16:10:37,0.91,0.91,0.93,0.94
2025-05-29T16:10:41,0.88,0.87,0.9,0.93
2025-05-29T16:10:45,0.89,0.76,0.84,0.5
2025-05-29T16:10:49,0.94,0.93,0.95,0.88
2025-05-29T16:10:54,0.9,0.91,0.9,0.94
2025-05-29T16:10:58,0.89,0.94,0.95,0.94
2025-05-29T16:11:01,0.93,0.81,0.88,0.9
2025-05-29T16:11:05,0.9,0.81,0.83,0.94
2025-05-29T16:11:10,0.93,0.82,0.89,0.9
2025-05-29T16:11:14,0.93,0.86,0.93,0.79
2025-05-29T16:28:10,0.06,0.03,0.11,0.01
2025-05-29T16:28:14,0.18,0.2,0.01,0.01
2025-05-29T16:28:18,0.18,0.09,0.19,0.09
2025-05-29T16:28:22,0.08,0.19,0.05,0.16
2025-05-29T16:28:26,0.06,0.1,0.14,0.09
2025-05-29T16:28:30,0.13,0.1,0.15,0.09
2025-05-29T16:28:33,0.09,0.05,0.15,0.1
2025-05-29T16:28:37,0.04,0.17,0.1,0.01
2025-05-29T16:28:41,0.17,0.19,0.1,0.16
2025-05-29T16:28:45,0.08,0.15,0.17,0.05
