temporal_dependency;case_concurrency;concept_stability;case_throughput_stability;parallel_activity_ratio;activity_duration_stability;avg_distinct_activities_increase;long_term_dependencies
0.54;0.25;1;1;0.07;1;0;0.08
0.53;0.29;0.92;0.04;0.04;1;0;0.06
0.47;0.29;0.19;0.34;0.07;1;0;0.1
0.58;0.5;0.24;0.12;0.04;1;0;0.07
0.53;0.29;0.38;0.46;0.08;0.71;0.14;0.05
0.67;0.33;0.41;0.57;0.02;0.59;0.13;0.06
0.58;0.18;0.44;0.51;0.07;0.52;0.18;0.05
0.59;0.33;0.14;0.32;0.08;0.53;0.13;0.07
0.68;0.22;0.45;0.64;0;0.81;0.13;0.14
0.71;0.2;0.22;0.88;0.13;0.8;0.43;0.1
0.85;0.4;0.85;0.17;0.11;0.77;0.34;0.03
0.66;0.18;0.89;0.92;0.03;0.85;0.31;0.09
0.81;0.4;0.9;0.17;0.09;0.83;0.34;0.04
0.69;0.2;0.89;0.86;0.04;0.84;0.42;0.04
0.71;0.29;0.88;0.84;0.08;0.85;0.67;0.03
0.8;1;0.78;0.83;0.19;0.82;0.6;0.8
0.83;0.33;0.93;0.84;0.04;0.82;0.61;0.78
0.8;0.4;0.87;0.77;0.01;0.83;0.67;0.75
0.81;0.25;0.89;0.75;0.03;0.78;0.62;0.76
0.81;0.25;0.93;0.76;0;0.82;0.89;0.75
